Date,Year,Month,Day,Day of the Year,C6
1995-06-19,1995,6,19,170,6.999213693
1995-07-08,1995,7,8,189,141.6451875
1995-07-25,1995,7,25,206,4.07E-11
1995-08-08,1995,8,8,220,97.06874876
1995-08-23,1995,8,23,235,73.42122168
1995-09-06,1995,9,6,249,37.62533104
1995-09-17,1995,9,17,260,39.62937556
1995-10-01,1995,10,1,274,81.98269286
1995-10-22,1995,10,22,295,18.30337136
1996-05-20,1996,5,20,141,3.91E-11
1996-06-20,1996,6,20,172,15.23686189
1996-07-07,1996,7,7,189,105.1879457
1996-07-21,1996,7,21,203,104.7757937
1996-08-04,1996,8,4,217,3.636671674
1996-08-18,1996,8,18,231,57.65703737
1996-09-04,1996,9,4,248,61.20094119
1996-09-15,1996,9,15,259,39.61604428
1996-10-05,1996,10,5,279,32.67991953
1996-10-26,1996,10,26,300,2.549521304
1997-05-07,1997,5,7,127,1.986705163
1997-05-28,1997,5,28,148,3.98E-11
1997-06-23,1997,6,23,174,26.2659554
1997-07-08,1997,7,8,189,75.99490069
1997-07-28,1997,7,28,209,42.40976666
1997-08-17,1997,8,17,229,50.5390348
1997-09-01,1997,9,1,244,38.22572753
1997-09-14,1997,9,14,257,24.75077591
1997-10-07,1997,10,7,280,8.261767727
1997-10-19,1997,10,19,292,18.82910164
1997-12-16,1997,12,16,350,4.372091882
1998-04-14,1998,4,14,104,-0.597940274
1998-05-14,1998,5,14,134,0.063887891
1998-06-10,1998,6,10,161,78.65024399
1998-07-12,1998,7,12,193,19.56151987
1998-07-30,1998,7,30,211,84.03504239
1998-08-09,1998,8,9,221,44.34134958
1998-08-28,1998,8,28,240,48.14138691
1998-09-13,1998,9,13,256,36.20139972
1998-10-04,1998,10,4,277,12.548416
1998-10-27,1998,10,27,300,5.514393324
1999-05-06,1999,5,6,126,3.826384379
1999-05-18,1999,5,18,138,82.90368644
1999-06-08,1999,6,8,159,39.13891385
1999-06-21,1999,6,21,172,58.75180656
1999-07-07,1999,7,7,188,77.28770226
1999-07-21,1999,7,21,202,62.87580155
1999-08-11,1999,8,11,223,92.7421225
1999-08-25,1999,8,25,237,99.30232822
1999-09-08,1999,9,8,251,30.91015982
1999-09-22,1999,9,22,265,18.79838094
1999-10-20,1999,10,20,293,6.010451156
2000-05-22,2000,5,22,143,4.22E-11
2000-06-11,2000,6,11,163,18.20997172
2000-06-26,2000,6,26,178,67.72649789
2000-07-09,2000,7,9,191,44.36670165
2000-07-30,2000,7,30,212,56.39785595
2000-08-13,2000,8,13,226,47.33561653
2000-09-07,2000,9,7,251,49.7101527
2000-09-18,2000,9,18,262,5.339570012
2000-10-01,2000,10,1,275,12.19091275
2000-10-16,2000,10,16,290,15.46637572
2000-11-28,2000,11,28,333,-1.4326201
2001-06-03,2001,6,3,154,4.13E-11
2001-06-15,2001,6,15,166,34.85744059
