Date,Year,Month,Day,Day of the Year,E51
1996-07-07,1996,7,7,189,130.2494513
1996-07-21,1996,7,21,203,96.51463568
1996-08-04,1996,8,4,217,9.349508846
1996-08-18,1996,8,18,231,96.42869768
1996-09-04,1996,9,4,248,103.1872442
1996-09-15,1996,9,15,259,61.74530451
1996-10-05,1996,10,5,279,2.02E-11
1996-10-26,1996,10,26,300,1.979398776
1997-05-07,1997,5,7,127,1.780280913
1997-05-28,1997,5,28,148,2.20E-11
1997-06-23,1997,6,23,174,21.8135426
1997-07-08,1997,7,8,189,185.4224062
1997-07-28,1997,7,28,209,3.80111883
1997-08-17,1997,8,17,229,80.32333582
1997-09-01,1997,9,1,244,5.234685481
1997-09-14,1997,9,14,257,42.49649858
1997-10-07,1997,10,7,280,37.50749286
1997-10-19,1997,10,19,292,20.91018939
1997-12-16,1997,12,16,350,0.384888437
1998-04-14,1998,4,14,104,-0.086407307
1998-05-14,1998,5,14,134,2.02E-11
1998-06-10,1998,6,10,161,42.05744879
1998-07-12,1998,7,12,193,27.66168954
1998-07-30,1998,7,30,211,83.10989491
1998-08-09,1998,8,9,221,8.25663778
1998-08-28,1998,8,28,240,5.526141023
1998-09-13,1998,9,13,256,28.1807021
1998-10-05,1998,10,5,278,-2.9076223
1998-10-27,1998,10,27,300,2.847094612
1999-05-05,1999,5,5,125,13.72446428
1999-05-18,1999,5,18,138,60.20626242
1999-06-09,1999,6,9,160,24.97718769
1999-06-22,1999,6,22,173,24.76740772
1999-07-08,1999,7,8,189,60.07899691
1999-07-22,1999,7,22,203,0.893213271
1999-08-12,1999,8,12,224,56.42980822
1999-08-26,1999,8,26,238,9.073107014
1999-09-09,1999,9,9,252,38.47518564
1999-09-23,1999,9,23,266,36.82981601
1999-10-21,1999,10,21,294,0.775944906
2000-05-22,2000,5,22,143,2.03E-11
2000-06-11,2000,6,11,163,25.38838633
2000-06-26,2000,6,26,178,15.97630817
2000-07-09,2000,7,9,191,88.08736499
2000-07-30,2000,7,30,212,9.53015049
2000-08-13,2000,8,13,226,37.97540732
2000-09-07,2000,9,7,251,73.07628048
2000-09-18,2000,9,18,262,23.87488276
2000-10-01,2000,10,1,275,15.90939873
2000-10-16,2000,10,16,290,14.48621433
2000-11-28,2000,11,28,333,-2.468276183
2001-06-03,2001,6,3,154,2.04E-11
2001-06-15,2001,6,15,166,1.85E-11
2001-07-01,2001,7,1,182,155.1128764
2001-07-17,2001,7,17,198,47.33542137
2001-07-29,2001,7,29,210,50.64565921
2001-08-18,2001,8,18,230,5.820740897
2001-09-05,2001,9,5,248,28.34041866
2001-09-17,2001,9,17,260,7.926499273
2001-09-28,2001,9,28,271,20.01530907
2001-10-12,2001,10,12,285,2.04E-11
2001-11-02,2001,11,2,306,1.23E-11
2002-05-26,2002,5,26,146,1.53E-11
2002-06-10,2002,6,10,161,3.104061907
2002-06-23,2002,6,23,174,77.17666324
