Date,Year,Month,Day,Day of the Year,K42
1988-07-13,1988,7,13,195,1949.846616
1988-07-18,1988,7,18,200,1881.429136
1988-07-25,1988,7,25,207,2278.667973
1988-08-02,1988,8,2,215,2463.704848
1988-08-08,1988,8,8,221,2465.629078
1988-08-16,1988,8,16,229,2086.637107
1988-08-22,1988,8,22,235,2359.339574
1988-08-29,1988,8,29,242,1644.194864
1988-09-15,1988,9,15,259,951.9105788
1988-10-03,1988,10,3,277,646.350908
1989-05-15,1989,5,15,135,23.09584704
1989-05-23,1989,5,23,143,18.52365819
1989-05-29,1989,5,29,149,73.92145932
1989-06-05,1989,6,5,156,130.5752043
1989-06-12,1989,6,12,163,298.0368443
1989-06-19,1989,6,19,170,816.7355531
1989-06-26,1989,6,26,177,1218.376718
1989-07-04,1989,7,4,185,1278.118009
1989-07-12,1989,7,12,193,1776.118915
1989-07-17,1989,7,17,198,1929.515834
1989-07-25,1989,7,25,206,2297.68627
1989-08-01,1989,8,1,213,2313.825078
1989-08-09,1989,8,9,221,1732.387709
1989-08-14,1989,8,14,226,2044.723417
1989-08-22,1989,8,22,234,1937.317967
1989-08-28,1989,8,28,240,1928.086397
1989-09-06,1989,9,6,249,1739.841443
1989-09-11,1989,9,11,254,1730.727346
1989-09-19,1989,9,19,262,1466.933605
1989-10-16,1989,10,16,289,167.9967827
1989-10-25,1989,10,25,298,33.47484616
1990-05-08,1990,5,8,128,-34.73801402
1990-05-22,1990,5,22,142,26.30317345
1990-05-28,1990,5,28,148,169.3221314
1990-06-06,1990,6,6,157,132.2275982
1990-06-12,1990,6,12,163,431.881325
1990-06-25,1990,6,25,176,852.8112275
1990-07-11,1990,7,11,192,1123.540276
1990-07-17,1990,7,17,198,1437.876759
1990-07-25,1990,7,25,206,2033.643021
1990-08-01,1990,8,1,213,1910.279608
1990-08-08,1990,8,8,220,1757.537746
1990-08-15,1990,8,15,227,1876.286603
1990-08-21,1990,8,21,233,2036.741826
1990-08-28,1990,8,28,240,2132.613565
1990-09-04,1990,9,4,247,1837.366718
1990-09-21,1990,9,21,264,1210.777772
1990-09-27,1990,9,27,270,787.665811
1990-10-12,1990,10,12,285,116.8564778
1990-10-24,1990,10,24,297,36.54222486
1990-11-01,1990,11,1,305,64.03159157
1991-01-28,1991,1,28,28,79.60705145
1991-02-04,1991,2,4,35,72.07479416
1991-02-25,1991,2,25,56,60.95640257
1991-05-08,1991,5,8,128,-1.437985589
1991-05-28,1991,5,28,148,521.9515871
1991-06-19,1991,6,19,170,1140.661974
1991-07-08,1991,7,8,189,1862.259105
1991-07-22,1991,7,22,203,2098.429592
1991-08-07,1991,8,7,219,1788.58579
1991-08-20,1991,8,20,232,1937.396782
1991-09-04,1991,9,4,247,1782.578289
1991-09-19,1991,9,19,262,1278.758159
1991-10-03,1991,10,3,276,512.2408304
1991-10-21,1991,10,21,294,135.9020275
1992-05-06,1992,5,6,127,4.491998719
1992-05-25,1992,5,25,146,113.6470385
1992-06-16,1992,6,16,168,762.6673176
1992-07-08,1992,7,8,190,956.0980728
1992-07-21,1992,7,21,203,1009.578595
1992-08-05,1992,8,5,218,1295.890132
1992-08-18,1992,8,18,231,1459.036525
1992-09-01,1992,9,1,245,1025.152069
1992-09-14,1992,9,14,258,1375.255167
1992-09-30,1992,9,30,274,740.114741
1992-10-22,1992,10,22,296,-2.533065538
1993-05-04,1993,5,4,124,-10.86938335
1993-05-30,1993,5,30,150,91.44419575
1993-06-15,1993,6,15,166,469.4247775
1993-07-07,1993,7,7,188,1794.895552
1993-07-21,1993,7,21,202,804.1617311
1993-08-04,1993,8,4,216,1431.025881
1993-08-17,1993,8,17,229,2564.410483
1993-09-01,1993,9,1,244,2134.037868
1993-09-12,1993,9,12,255,1335.592165
1993-09-26,1993,9,26,269,874.7740231
1993-10-23,1993,10,23,296,10.0944353
1994-04-28,1994,4,28,118,5.14E-10
1994-05-20,1994,5,20,140,27.61583123
1994-06-10,1994,6,10,161,393.9916009
1994-06-28,1994,6,28,179,895.7861217
1994-07-11,1994,7,11,192,1485.966532
1994-07-25,1994,7,25,206,2307.876838
1994-08-07,1994,8,7,219,1693.91705
1994-08-21,1994,8,21,233,1671.009022
1994-09-05,1994,9,5,248,1498.843693
1994-09-18,1994,9,18,261,1361.027203
1994-10-10,1994,10,10,283,647.1812844
1994-10-30,1994,10,30,303,216.9812574
1994-11-11,1994,11,11,315,-5.640601839
1995-05-04,1995,5,4,124,2.217688451
1995-05-26,1995,5,26,146,217.3208876
1995-06-19,1995,6,19,170,1004.808334
1995-07-25,1995,7,25,206,2399.295623
1995-08-08,1995,8,8,220,2953.635289
1995-08-23,1995,8,23,235,2417.565966
1995-09-06,1995,9,6,249,2213.105585
1995-09-17,1995,9,17,260,1553.529813
1995-10-01,1995,10,1,274,926.1213643
1995-10-22,1995,10,22,295,53.31301227
1996-05-20,1996,5,20,141,95.86518233
1996-06-20,1996,6,20,172,1553.798853
1996-07-07,1996,7,7,189,1289.011546
1996-07-21,1996,7,21,203,1347.148114
1996-08-04,1996,8,4,217,2138.291711
1996-08-18,1996,8,18,231,2296.898074
1996-09-04,1996,9,4,248,2446.473115
1996-09-15,1996,9,15,259,1731.562062
1996-10-05,1996,10,5,279,849.9927474
1996-10-26,1996,10,26,300,167.6804883
1997-05-07,1997,5,7,127,-0.446366772
1997-05-28,1997,5,28,148,160.8735422
1997-06-23,1997,6,23,174,684.6834407
1997-07-08,1997,7,8,189,1512.100094
1997-07-28,1997,7,28,209,2173.374307
1997-08-17,1997,8,17,229,1797.749869
1997-09-01,1997,9,1,244,1906.229953
1997-09-14,1997,9,14,257,1340.170659
1997-10-07,1997,10,7,280,870.2413725
1997-10-19,1997,10,19,292,560.8590563
1997-12-16,1997,12,16,350,1.998121675
1998-04-14,1998,4,14,104,-0.534290374
1998-05-14,1998,5,14,134,906.0181186
1998-06-10,1998,6,10,161,554.8473129
1998-07-12,1998,7,12,193,1794.724085
1998-07-30,1998,7,30,211,1902.658405
1998-08-09,1998,8,9,221,2527.196268
1998-08-28,1998,8,28,240,2418.476746
1998-09-13,1998,9,13,256,1624.989511
1998-10-04,1998,10,4,277,782.072352
1998-10-27,1998,10,27,300,200.5921029
1999-05-06,1999,5,6,126,250.4948974
1999-05-19,1999,5,19,139,454.0176836
1999-06-08,1999,6,8,159,1020.989257
1999-06-21,1999,6,21,172,1388.019869
1999-07-07,1999,7,7,188,1498.551069
1999-07-21,1999,7,21,202,2468.330828
1999-08-11,1999,8,11,223,2060.187917
1999-08-25,1999,8,25,237,2222.558611
1999-09-08,1999,9,8,251,2353.511698
1999-09-22,1999,9,22,265,1453.863947
1999-10-20,1999,10,20,293,123.3305758
2000-05-22,2000,5,22,143,147.7304666
2000-06-11,2000,6,11,163,649.2907762
2000-06-26,2000,6,26,178,1649.312871
2000-07-09,2000,7,9,191,1626.803123
2000-07-30,2000,7,30,212,2589.048662
2000-08-13,2000,8,13,226,2372.552043
2000-09-07,2000,9,7,251,2049.384135
2000-09-18,2000,9,18,262,1143.075208
2000-10-01,2000,10,1,275,760.5653723
2000-10-16,2000,10,16,290,228.8101685
2000-11-28,2000,11,28,333,5.17E-10
2001-06-03,2001,6,3,154,764.3160762
2001-06-15,2001,6,15,166,1419.836037
2001-07-01,2001,7,1,182,689.2791438
2001-07-17,2001,7,17,198,1913.899472
2001-07-29,2001,7,29,210,2467.469437
2001-08-18,2001,8,18,230,2215.071285
2001-09-05,2001,9,5,248,2165.49646
2001-09-17,2001,9,17,260,1764.098052
2001-09-28,2001,9,28,271,832.5028922
2001-10-12,2001,10,12,285,582.4352192
2001-11-02,2001,11,2,306,19.73693166
2002-05-26,2002,5,26,146,42.29921998
2002-06-10,2002,6,10,161,561.2929794
2002-06-23,2002,6,23,174,1088.444602
2002-07-13,2002,7,13,194,1692.53944
2002-07-28,2002,7,28,209,2242.62155
2002-08-18,2002,8,18,230,2171.205002
2002-09-03,2002,9,3,246,2398.985079
2002-09-16,2002,9,16,259,2016.409847
2002-10-03,2002,10,3,276,1593.087601
2002-10-21,2002,10,21,294,390.9302895
2002-11-07,2002,11,7,311,-13.29234103
2003-05-15,2003,5,15,135,33.77221358
2003-06-05,2003,6,5,156,310.3328504
2003-06-22,2003,6,22,173,715.8655085
2003-07-20,2003,7,20,201,1213.660351
2003-08-03,2003,8,3,215,2334.635858
2003-08-17,2003,8,17,229,2934.616759
2003-09-03,2003,9,3,246,2193.252031
2003-09-17,2003,9,17,260,1861.195399
2003-10-07,2003,10,7,280,345.864098
2003-10-26,2003,10,26,299,20.99913535
2004-05-16,2004,5,16,137,77.04031813
2004-06-02,2004,6,2,154,448.7150492
2004-06-17,2004,6,17,169,1370.318485
2004-07-07,2004,7,7,189,1515.589255
2004-07-21,2004,7,21,203,2223.398634
2004-08-08,2004,8,8,221,2209.380832
2004-08-24,2004,8,24,237,1559.335912
2004-09-11,2004,9,11,255,1917.529385
2004-09-26,2004,9,26,270,1503.65304
2004-10-08,2004,10,8,282,995.9321064
2004-10-26,2004,10,26,300,74.18692613
2004-11-16,2004,11,16,321,48.27731892
2005-05-15,2005,5,15,135,31.3768344
2005-06-10,2005,6,10,161,1077.69411
2005-06-28,2005,6,28,179,1772.733145
2005-07-11,2005,7,11,192,2176.195265
2005-07-31,2005,7,31,212,2285.935579
2005-08-14,2005,8,14,226,2800.914291
2005-08-28,2005,8,28,240,2369.650904
2005-09-12,2005,9,12,255,2177.017521
2005-09-27,2005,9,27,270,1774.33121
2005-10-20,2005,10,20,293,593.2126065
2005-11-05,2005,11,5,309,76.55251806
2005-11-28,2005,11,28,332,28.32678909
2006-05-08,2006,5,8,128,34.56756118
2006-06-05,2006,6,5,156,926.8961483
2006-06-19,2006,6,19,170,813.4490973
2006-07-03,2006,7,3,184,1034.912148
2006-07-20,2006,7,20,201,2216.164838
2006-08-11,2006,8,11,223,2364.141485
2006-08-26,2006,8,26,238,2204.154014
2006-09-16,2006,9,16,259,1504.578592
2006-10-01,2006,10,1,274,782.6735171
2006-11-11,2006,11,11,315,69.58052022
2007-05-14,2007,5,14,134,269.0571642
2007-06-02,2007,6,2,153,667.9628967
2007-06-16,2007,6,16,167,1413.754208
2007-07-05,2007,7,5,186,1722.555626
2007-07-29,2007,7,29,210,2439.742474
2007-08-22,2007,8,22,234,2016.218504
2007-09-04,2007,9,4,247,2061.34476
2007-09-16,2007,9,16,259,1524.454535
2007-09-27,2007,9,27,270,1591.950914
2007-10-15,2007,10,15,288,939.4276416
2008-05-06,2008,5,6,127,-1.947599941
2008-05-20,2008,5,20,141,21.95226211
2008-06-06,2008,6,6,158,383.9763824
2008-06-21,2008,6,21,173,758.1914324
2008-07-05,2008,7,5,187,1452.857421
2008-07-19,2008,7,19,201,2016.981023
2008-08-03,2008,8,3,216,2324.302834
2008-08-16,2008,8,16,229,1842.07524
2008-08-30,2008,8,30,243,2188.392323
2008-09-14,2008,9,14,258,1951.474804
2008-09-29,2008,9,29,273,1560.393177
2008-10-13,2008,10,13,287,849.1862673
2008-11-04,2008,11,4,309,119.6234125
2008-11-25,2008,11,25,330,4.415043165
2009-04-10,2009,4,10,100,-0.272116647
2009-05-04,2009,5,4,124,12.67220575
2009-05-18,2009,5,18,138,27.56562356
2009-06-07,2009,6,7,158,374.6651284
2009-06-24,2009,6,24,175,1228.390955
2009-07-09,2009,7,9,190,1105.681878
2009-07-20,2009,7,20,201,1167.320616
2009-08-06,2009,8,6,218,1363.954094
2009-08-23,2009,8,23,235,2161.566729
2009-09-07,2009,9,7,250,1903.427479
2009-09-17,2009,9,17,260,1752.745741
2009-09-27,2009,9,27,270,1435.799295
2009-10-10,2009,10,10,283,445.9679877
2009-10-21,2009,10,21,294,70.30240862
2009-11-04,2009,11,4,308,5.230861583
2010-04-20,2010,4,20,110,4.778518248
2010-05-04,2010,5,4,124,84.46929013
2010-05-18,2010,5,18,138,180.7942305
2010-06-08,2010,6,8,159,605.8683092
2010-06-26,2010,6,26,177,1304.805317
2010-07-11,2010,7,11,192,1879.101707
2010-07-24,2010,7,24,205,2453.707626
2010-08-07,2010,8,7,219,2075.079226
2010-08-20,2010,8,20,232,2488.214357
2010-09-01,2010,9,1,244,2303.999656
2010-09-11,2010,9,11,254,1574.725436
2010-09-29,2010,9,29,272,1002.587398
2010-10-12,2010,10,12,285,572.8992707
2010-11-01,2010,11,1,305,3.509454128
2010-11-14,2010,11,14,318,78.03059336
2011-04-27,2011,4,27,117,0.919504105
2011-05-10,2011,5,10,130,64.49169411
2011-05-28,2011,5,28,148,264.7273436
2011-06-15,2011,6,15,166,816.8896849
2011-06-27,2011,6,27,178,1518.665361
2011-07-15,2011,7,15,196,2099.616485
2011-07-27,2011,7,27,208,1628.980463
2011-08-09,2011,8,9,221,2689.527153
2011-08-23,2011,8,23,235,1656.948332
