"","x"
"1",3.10656966521829
"2",177.045070640661
"3",139.21099881193
"4",795.914944828947
"5",1623.30262313614
"6",2007.69402656973
"7",1980.290438194
"8",698.808705534135
"9",174.360257856369
"10",53.7448557002488
"11",43.9740211323932
"12",-0.10752278012957
"13",13.1013152783125
"14",95.9202569387518
"15",828.406166709755
"16",1584.76717864866
"17",1807.70996429005
"18",1411.46471857081
"19",769.206206565004
"20",164.50082690515
"21",50.2753485293758
"22",2.17496924122025
"23",9.78364605085874
"24",640.797085440482
"25",273.02093884352
"26",1192.71269727901
"27",1906.22536236456
"28",1755.42830125526
"29",943.4604536646
"30",1153.30805083971
"31",624.140670944484
"32",586.841412905114
"33",171.561639810889
"34",136.931057614887
"35",68.9187519028482
"36",-0.635303561650143
"37",37.5867175589057
"38",569.827434555654
"39",392.297615703208
"40",2023.42341080317
"41",2049.08698265595
"42",2277.60352250325
"43",1348.37538789996
"44",436.881674513118
"45",220.00581121899
"46",4.81972549294375e-10
"47",10.6900078061317
"48",168.376424510591
"49",247.319671603921
"50",846.759086492397
"51",395.802772471799
"52",1168.23093045005
"53",1185.3390064567
"54",1489.74398059171
"55",1505.91225702549
"56",1890.93865310314
"57",2310.05705789574
"58",1923.67850583785
"59",1741.70909488975
"60",1323.16092172966
"61",1189.12510327317
"62",982.018489047712
"63",987.548840202656
"64",868.435956916505
"65",637.240958934313
"66",344.237166578801
"67",276.508667124852
"68",142.127280388356
"69",-4.11866499269371e-10
"70",384.674398866347
"71",0.198529997254349
"72",100.658575086097
"73",338.594054718774
"74",348.881777427281
"75",595.694846609453
"76",1065.20331776922
"77",1128.55804608128
"78",746.538346471689
"79",1717.30198202571
"80",1680.86744340961
"81",1828.87195146044
"82",1722.70239624237
"83",1435.94089200791
"84",1124.2528141491
"85",789.085335737529
"86",404.12807347638
"87",319.11075474876
"88",246.226860874155
"89",66.0778230981029
"90",45.3483976780961
"91",4.47992139993897
"92",390.0945469759
"93",465.495790994405
"94",492.108543266802
"95",592.803016727184
"96",361.973201250368
"97",1031.14975193966
"98",1337.09331371325
"99",1834.22051599766
"100",2037.82079567828
"101",1878.04031087298
"102",1629.92792124004
"103",2240.58608942043
"104",1396.59669631214
"105",954.703462697228
"106",827.178926534193
"107",55.3139158926777
"108",205.259523371924
"109",468.233132441564
"110",546.416147725617
"111",466.019670823337
"112",721.840816807298
"113",1506.18425604351
"114",1715.58767750811
"115",1474.06604138111
"116",1571.88247907693
"117",2271.9928688015
"118",2307.06276394769
"119",1917.79524595668
"120",1893.70737127206
"121",1438.25332090657
"122",1461.09933888053
"123",1463.34027092629
"124",511.057293171426
"125",249.870918172743
"126",9.16784172492241
"127",68.3648530349819
"128",428.401017507172
"129",274.464503194093
"130",515.961848083988
"131",579.884677495064
"132",1035.86982657709
"133",1752.10393934467
"134",1687.93079117598
"135",2069.11821955606
"136",2236.87699736208
"137",2212.12433478057
"138",1889.05003499097
"139",2146.04271680804
"140",1470.92709864785
"141",850.002541926218
"142",544.629605255149
"143",21.8022580794111
"144",16.6114388649126
"145",67.4706080626579
"146",119.537946513727
"147",275.815366522959
"148",743.591107091123
"149",1119.82624341126
"150",1164.86697807595
"151",1605.94543843736
"152",1766.18683555352
"153",2106.57194768964
"154",2104.45663949107
"155",1589.23658832286
"156",1864.97205038711
"157",1769.36563039733
"158",1746.17277800277
"159",1561.65564276309
"160",1535.62272793994
"161",1333.45000680036
"162",134.337042910526
"163",29.8526235850876
"164",-27.5330568940588
"165",23.5135201598196
"166",156.968692009612
"167",119.904589814294
"168",392.565475596103
"169",772.350811560776
"170",1029.51007758239
"171",1314.57945671936
"172",1842.13105168865
"173",1747.18764393982
"174",1615.85323205585
"175",1719.81972585555
"176",1831.72851172509
"177",1918.96546861168
"178",1680.3225003764
"179",1069.49015896125
"180",677.420839637179
"181",85.6912703861104
"182",30.4440046096084
"183",52.1783807610189
"184",66.9585848580115
"185",61.6962724793607
"186",52.54986208169
"187",-1.24461823717505
"188",483.203499801789
"189",1052.50847856537
"190",1711.20917496286
"191",1931.18032163231
"192",1633.48344409992
"193",1734.65781706733
"194",1606.19135712564
"195",1145.21143398798
"196",443.601109799876
"197",113.447474161735
"198",4.21287058810122
"199",99.7578985126672
"200",686.85230876245
"201",859.597437389136
"202",922.051610651221
"203",1162.15005645474
"204",1309.15075622611
"205",920.774520652973
"206",1201.66257130804
"207",643.285435172771
"208",-2.38427158374855
"209",-8.73581074604058
"210",79.9152726799818
"211",416.782879315784
"212",1637.58816248986
"213",732.6242206084
"214",1306.11004432406
"215",2320.85801485303
"216",1932.11840563278
"217",1217.23339048453
"218",739.793758861074
"219",9.36730681026757
"220",8.2420421172039e-10
"221",25.6414879151154
"222",354.987381251878
"223",802.286138932033
"224",1342.46436843816
"225",2074.65396214383
"226",1563.79434131013
"227",1494.52138504753
"228",1329.77794605672
"229",1211.25741767155
"230",568.379996431708
"231",179.320620342487
"232",-4.22426711247084
"233",1.97863838554244
"234",193.244908869654
"235",920.528053950067
"236",2158.63121969128
"237",2646.07772116942
"238",2193.55289206999
"239",1950.24009642885
"240",1400.54251136637
"241",811.382494996345
"242",40.4130125238563
"243",85.5111788641996
"244",1414.99764764486
"245",1183.87432411014
"246",1235.33422952034
"247",1945.47816207989
"248",2073.85788375787
"249",2201.45144824624
"250",1489.57976946854
"251",749.519609222983
"252",132.618555457721
"253",-0.419208242163436
"254",144.929552875188
"255",636.245874184092
"256",1387.22756468174
"257",2001.94934672142
"258",1643.0476322245
"259",1697.68147987565
"260",1235.52163030994
"261",757.022018312004
"262",478.085938050553
"263",1.66723606814012
"264",-0.400667578111106
"265",831.428781999844
"266",501.280497255136
"267",1630.5943887097
"268",1702.71862076804
"269",2299.02811338337
"270",2150.06256759077
"271",1400.9366695882
"272",672.508155106668
"273",162.721921872303
"274",231.677369876493
"275",418.115829264517
"276",929.089481960441
"277",1240.80480692214
"278",1368.26723079905
"279",2249.61663932538
"280",1862.79167762199
"281",1985.90950004737
"282",2120.35574066952
"283",1282.02680141882
"284",93.3690324963654
"285",132.883117711141
"286",583.093732741895
"287",1477.5483810933
"288",1494.35005447604
"289",2309.63322123061
"290",2164.39339166123
"291",1845.86653293362
"292",1031.28493933233
"293",664.232063935774
"294",180.032134323888
"295",1.54584102090233e-10
"296",682.747346780305
"297",1271.83299241789
"298",616.89085256127
"299",1713.75465416157
"300",2216.46677913345
"301",2015.63310473458
"302",1947.05371305399
"303",1588.36925016947
"304",676.136873036157
"305",484.785583766646
"306",13.8217128093162
"307",36.1010680607736
"308",502.595980951648
"309",989.03377347861
"310",1555.24025919485
"311",2044.28203533001
"312",1968.82934545507
"313",2153.45139599377
"314",1794.41527472133
"315",1404.77888571539
"316",337.368595713272
"317",-12.3852934565712
"318",30.330113372108
"319",273.710397551721
"320",631.467758236114
"321",1110.02010093281
"322",2056.61771479686
"323",2617.65278654384
"324",1960.04989440147
"325",1627.57793233573
"326",283.8691293196
"327",14.3703058046805
"328",68.3847922862602
"329",376.163940089267
"330",1250.13632856806
"331",1362.18735614214
"332",2019.49323331628
"333",2017.73278456018
"334",1324.50463239208
"335",1739.07828362009
"336",1328.98312924784
"337",873.479507755179
"338",60.8593521379641
"339",40.8822127898962
"340",27.966290249686
"341",987.615362746075
"342",1640.51963674773
"343",2017.77439880805
"344",2075.06433826558
"345",2552.06641466599
"346",2166.67894980259
"347",1988.92795203888
"348",1601.25625523067
"349",522.837235080699
"350",55.2674340868987
"351",25.0922698071471
"352",30.643308780807
"353",849.704964205321
"354",726.006838158954
"355",938.922904422266
"356",2007.85908073657
"357",2166.39338834272
"358",1954.44274342893
"359",1345.94750925712
"360",670.961431659876
"361",60.1481582338319
"362",243.345020900482
"363",609.445609944463
"364",1302.64175772533
"365",1534.26027400303
"366",2169.01840633868
"367",1798.17506238106
"368",1838.69910705097
"369",1378.99804648462
"370",1410.24239547623
"371",810.733034503216
"372",-1.39532394696835
"373",19.4599332806023
"374",343.254639287554
"375",697.085645042249
"376",1327.42439974924
"377",1853.15279607475
"378",2106.27975694556
"379",1696.25922627595
"380",1986.65048920587
"381",1745.8611610433
"382",1403.71429305264
"383",742.265825403937
"384",100.672913760847
"385",3.39514906748551
"386",-0.256506496180862
"387",11.4579947503708
"388",23.2819649276111
"389",335.930613448205
"390",1127.06493690387
"391",1005.03394069976
"392",1063.92040072122
"393",1233.06236785331
"394",1908.13870914544
"395",1697.65074971885
"396",1549.90343042006
"397",1257.11256060736
"398",372.964120633745
"399",55.0289161377282
"400",4.70887148763003
"401",4.40481599817427
"402",77.1077398226947
"403",164.763444501427
"404",553.065692215449
"405",1169.43765335529
"406",1726.48325090916
